;_id;y;tags;language;x;category;timestamp;display_url;name;juso;id
23;"ObjectId(""5cd6f1507bda6c426441cf69"")";37.5548347;[];ko;126.9059131;hongdae_cafe;1557209367;https://scontent-icn1-1.cdninstagram.com/vp/01e28e0d406b955ce03aae5a293686f1/5D6287C3/t51.2885-15/e35/s1080x1080/58410422_2342682269344315_813336941176673395_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;Zapangi;서울특별시 마포구 월드컵로13길 79 해오름 주상복합;2038342370799237412
24;"ObjectId(""5cd6f1517bda6c426441cf6a"")";37.5585388;"[""쑥스러워요"",""홍대"",""어글리베이커리"",""망원동""]";ko;126.90363290000002;hongdae_cafe;1557206382;https://scontent-icn1-1.cdninstagram.com/vp/cdacdabc127048cf50011899a72e46d4/5D6FB9FE/t51.2885-15/e35/s1080x1080/57883117_291547395090483_2767362128775071782_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;어글리베이커리;서울특별시 마포구 포은로 131 1층;2038317329386208926
25;"ObjectId(""5cd6f1527bda6c426441cf6c"")";37.5485714;"[""2soyou""]";ko;126.92227959999998;hongdae_cafe;1557204234;https://scontent-icn1-1.cdninstagram.com/vp/4242a0512c4bc6b56e407b69c3957035/5CD8E62D/t51.2885-15/e35/58649622_156896088678660_3870527057230779458_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;2SOYOU;서울특별시 마포구 와우산로11길 9-8 2층;2038298525449451555
26;"ObjectId(""5cd6f1587bda6c426441cf6f"")";37.553842100000004;"[""도토리앤다람쥐""]";ko;126.92940549999999;hongdae_cafe;1557191907;https://scontent-icn1-1.cdninstagram.com/vp/9d021bde8aefbaeab19ebd00cf657de0/5D5CFCB3/t51.2885-15/e35/58761699_410756049505899_1143117368728381794_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;카페 도토리&다람쥐;서울특별시 마포구 와우산로 144-6 1층;2038195905719240350
27;"ObjectId(""5cd6f1617bda6c426441cf70"")";37.5509495;"[""얼죽아"",""맛스타그램"",""홍대브런치"",""홍대카페"",""위스테리아"",""카페라떼"",""상상마당카페"",""녹차라떼"",""홍대"",""상상마당"",""하트빨대"",""뿌셔뿌셔"",""매드홀릭"",""먹스타그램""]";ko;126.92106170000001;hongdae_cafe;1557147991;https://scontent-icn1-1.cdninstagram.com/vp/6aa6966368df913a29fbf662fc094eb2/5D532C8D/t51.2885-15/e35/57811458_430803247469597_4794630223823390986_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;KT&G 상상마당;서울특별시 마포구 어울마당로 65 상상마당빌딩;2037827509126934312
28;"ObjectId(""5cd6f1627bda6c426441cf71"")";37.5517143;[];ko;126.92222340000002;hongdae_cafe;1557147300;https://scontent-icn1-1.cdninstagram.com/vp/b42610e61835fefc18b2974a312cc052/5CD907B6/t51.2885-15/e35/57506244_332044214172134_3354329291776623540_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;홍대우와;서울특별시 마포구 와우산로21길 21-16 2층;2037821717749014919
29;"ObjectId(""5cd6f1637bda6c426441cf72"")";37.5504836;[];ko;126.9195821;hongdae_cafe;1557144040;https://scontent-icn1-1.cdninstagram.com/vp/8350fee416b23ce22d037265d376b0e4/5D5302EB/t51.2885-15/e35/60143631_443053073097077_5219597360675386147_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;The Famous Burger;서울특별시 마포구 잔다리로3안길 24 1층;2037794364788661871
30;"ObjectId(""5cd6f16c7bda6c426441cf74"")";37.5537759;"[""홍대카페"",""폴인팬케이크""]";ko;126.92476370000001;hongdae_cafe;1557130901;https://scontent-icn1-1.cdninstagram.com/vp/db3695b9e1434c6df43a59e0ac011e30/5D73061E/t51.2885-15/e35/59781227_351146179090817_301527701520130558_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;폴인팬케이크;서울특별시 마포구 와우산로29가길 86 2층;2037684148948477060
31;"ObjectId(""5cd6f1747bda6c426441cf76"")";37.5504836;"[""더페이머스버거"",""thefamousburger""]";ko;126.9195821;hongdae_cafe;1557117501;https://scontent-icn1-1.cdninstagram.com/vp/ff59eb7e63f31f43a37472f058d4f870/5D521091/t51.2885-15/e35/59372154_317220282287730_3100801334194822891_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;더페이머스버거;서울특별시 마포구 잔다리로3안길 24 1층;2037571740226224350
32;"ObjectId(""5cd6f1777bda6c426441cf77"")";37.5485714;"[""일상"",""2soyou"",""cafe"",""소통"",""데일리"",""daily""]";ko;126.92227959999998;hongdae_cafe;1557110437;https://scontent-icn1-1.cdninstagram.com/vp/7a1ebf8cc50694d3f997def3c21170e2/5D661F28/t51.2885-15/e35/58667644_313480716212988_2907378774336436683_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;투소유;서울특별시 마포구 와우산로11길 9-8 2층;2037512483603600935
33;"ObjectId(""5cd6f1797bda6c426441cf78"")";37.5538;[];ko;126.9237;hongdae_cafe;1557104289;https://scontent-icn1-1.cdninstagram.com/vp/a97d1fc153fb8fcac69ab16ff21cabbd/5D550AC3/t51.2885-15/e35/57615019_2393260434333147_9178216657778529641_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;슈퍼커피홍대;서울특별시 마포구 홍익로 10 서교푸르지오;2037460912067295458
34;"ObjectId(""5cd6f1797bda6c426441cf79"")";37.5520695;[];ko;126.91872679999999;hongdae_cafe;1557103892;https://scontent-icn1-1.cdninstagram.com/vp/e953f6ad7bb4cf6b31c46e7cd895ea9f/5D5364A9/t51.2885-15/e35/58454009_2349988035220164_8986172957731233708_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;홍대 Coalmine;서울특별시 마포구 잔다리로 43 1층;2037457580725665675
35;"ObjectId(""5cd6f1797bda6c426441cf7a"")";37.553842100000004;"[""도토리앤다람쥐""]";ko;126.92940549999999;hongdae_cafe;1557101662;https://scontent-icn1-1.cdninstagram.com/vp/46c86b621e08d99681af78420081da9f/5D5EF788/t51.2885-15/e35/57460080_1246281345548685_5826637092981759971_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;카페 도토리&다람쥐;서울특별시 마포구 와우산로 144-6 1층;2037438878776570220
36;"ObjectId(""5cd6f1807bda6c426441cf7b"")";37.563111299999996;"[""연남2호점"",""홍대카페"",""크림모카"",""tailor"",""연남1호점"",""coffee"",""테일러이즈뭔들"",""테일러"",""tailorcoffee"",""테일러커피"",""강추"",""카페투어"",""연남동카페""]";ko;126.9263399;hongdae_cafe;1557062566;https://scontent-icn1-1.cdninstagram.com/vp/5c4154a67f5392d8070bf2f039eefc00/5D65EC61/t51.2885-15/e35/57111698_343276919725648_3971865511879227349_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com;연남동 테일러커피;서울특별시 마포구 성미산로 189 1층;2037110913589756090
